htDiff,ageDiff,rankDiff,rank_pointsDiff,aceDiff,dfDiff,svptDiff,firstInDiff,firstWonDiff,secondWonDiff,SvGmsDiff,bpSavedDiff,bpFacedDiff,handDiff,h2hDiff,result
-5.0,-1.6180698152,11.3333320618,-256.666687012,2.33333349228,-0.66666674614,-32.9166641235,-39.0833320618,-22.8333320618,-0.916666984558,-2.5,-5.16666698456,-4.16666650772,-1,1,1
0.0,-3.6030116359,15.8333339691,-393.333374023,-2.33333349228,1.49999988079,10.5,-1.5,-4.33333206177,9.33333396912,2.66666698456,0.5,1.66666650772,0,-1,0
7.0,-1.8042436687,7.5,-160.0,3.83333349228,-1.83333325386,-9.5,-6.16666412354,-2.83333206177,-0.5,-2.0,-0.833333015442,-1.83333349228,0,-1,0
13.0,5.5003422313,-32.6666641235,563.333374023,7.33333349228,-1.33333349228,-5.0,1.0,2.33333206177,2.66666698456,0.333333969116,-3.33333325386,-6.0,1,1,1
2.0,5.9383983573,-23.0,335.599975586,-0.800000190735,0.0,4.0,5.20000076294,6.70000076294,0.300000190735,1.0,-1.5,-2.5,-1,1,1
-5.0,-0.3175906913,83.5,-11809.7861328,-4.14285755157,0.5,-5.7142868042,-2.9285697937,-3.9285697937,-1.21428585052,0.142857551575,-1.71428561211,-1.42857122421,0,-1,0
-16.0,0.1697467488,67.5,-1199.0,-12.75,1.5,-41.5,-36.0,-28.75,-8.0,-6.25,-1.0,0.75,0,-1,0
2.0,-4.2162902122,-22.5238075256,181.380981445,6.66666698456,0.142857074738,32.3809509277,26.0952415466,21.0,5.1428565979,5.80952358246,1.80952358246,0.761904716492,1,1,1
-7.0,-0.6269678302,82.5,-388.0,-3.0,-3.0,5.5,1.25,-0.5,-3.75,0.25,1.5,3.75,0,-1,0
-7.0,-10.2915811089,46.5,-458.599975586,4.80000019073,1.0,9.5,3.79999923706,5.54999923706,0.449999809265,0.5,1.5,1.25,0,1,1
2.0,-0.2135523614,-283.0,1816.0,11.1666669846,1.66666674614,2.5,-11.0,8.66666793823,7.66666603088,1.5,3.0,-1.5,-1,1,1
3.0,-0.205338809,-94.3333358765,949.0,-4.33333301544,3.0,-31.0,-17.3333320618,-13.3333358765,-6.0,-5.0,-3.33333325386,-5.0,1,-1,0
-15.0,1.0212183436,42.8666648865,-455.666625977,-0.400000095367,0.400000095367,-7.26666259766,-0.466667175293,-1.20000076294,-3.0,-1.66666698456,-0.0666666030884,-1.33333301544,0,1,1
-5.0,1.4784394251,-27.5999984741,313.799987793,0.949999809265,-3.09999990463,-7.94999694824,-13.5,-5.70000076294,5.14999961853,-0.0500001907349,-6.05000019073,-7.19999980927,0,-1,0
-7.0,1.1498973306,-41.3333320618,4001.66674805,-0.666666984558,-0.83333325386,20.0,19.8333320618,14.0,4.00000095367,1.83333396912,2.83333325386,1.16666650772,0,1,1
7.0,-4.2874743326,31.0,-3965.0,-8.875,0.0,12.125,24.0,9.125,-7.875,0.25,3.5,5.0,1,-1,0
-2.0,0.7802874743,-11.8571434021,310.0,6.0,-2.57142853737,-13.7142868042,-5.8571434021,-2.5714302063,0.57142829895,-1.85714244843,-0.571428537369,-1.85714292526,-1,1,1
0.0,-10.0999315537,65.1666717529,-506.0,1.16666650772,2.83333349228,20.8333358765,-0.5,4.5,9.83333396912,4.0,-3.16666650772,-2.16666698456,0,-1,0
21.0,6.2724161533,-44.9000015259,592.5,10.8000001907,-1.19999980927,5.0,7.90000152588,10.7999992371,-0.700000762939,2.0,-1.59999990463,-2.30000019073,0,1,1
-5.0,2.108145106,-8.75,42.5,-0.25,3.5,10.75,6.75,2.25,7.5,3.0,-0.5,-0.5,0,-1,0
-5.0,-10.1190965093,39.6666641235,-227.0,-2.33333325386,-4.33333349228,15.0,25.3333320618,15.6666679382,-5.66666603088,2.33333301544,1.66666650772,1.33333301544,0,1,1
-5.0,4.810403833,35.25,-660.25,-8.0,-0.25,-28.0,-23.5,-24.75,-3.25,-5.25,1.25,2.75,1,-1,0
-8.0,8.9582477755,0.0,5.25,-0.25,1.75,63.75,50.75,32.25,7.25,8.25,3.5,4.5,0,1,1
