htDiff,ageDiff,rankDiff,rank_pointsDiff,aceDiff,dfDiff,svptDiff,firstInDiff,firstWonDiff,secondWonDiff,SvGmsDiff,bpSavedDiff,bpFacedDiff,result
12.0,-7.4880219028,-167.183547974,254.297454834,2.67405056953,1.7373418808,6.21835327148,-0.639240264893,2.48417663574,1.12341785431,1.19620227814,0.0981011390686,0.48101234436,1
-5.0,-3.370294319,-84.9823913574,155.62322998,-1.68309855461,0.904929637909,-4.90316772461,-1.49823760986,-2.07746505737,0.0510559082031,-0.100352287292,-0.94894361496,-1.4014081955,0
0.0,-3.1074606434,-216.4375,295.137512207,0.975000023842,-3.11249995232,9.09999847412,22.2750015259,12.1375007629,-5.08749961853,2.07499980927,-3.05000019073,-2.57499980927,1
5.0,3.6988364134,-72.1517868042,406.67678833,0.853571474552,0.453571438789,4.49642944336,4.75,7.41785621643,1.48124980927,1.32321453094,-0.474999904633,-2.0428571701,0
-2.0,-5.4264202601,-294.42767334,666.509460449,-2.06918239594,-0.393081665039,10.3616371155,13.9213867188,6.13207626343,1.70125770569,1.80188655853,1.31132078171,1.41509437561,1
15.0,-0.5119780971,-242.662719727,818.41973877,3.88824057579,1.29882001877,13.7298164368,-9.59710693359,-0.0391082763672,11.4970169067,2.21397304535,-0.222060203552,-0.699721336365,0
-7.0,-4.7583846681,-89.1480789185,310.593139648,-3.89395570755,-0.406868219376,-0.481597900391,14.333240509,4.97527503967,-7.92966938019,-0.256043434143,0.29642868042,1.14560461044,1
-15.0,2.8501026694,-544.242675781,607.633361816,0.691999912262,-2.99533319473,-0.627998352051,1.02533340454,1.37933349609,0.0306663513184,0.994000434875,-1.68800020218,-1.6686668396,0
2.0,2.2258726899,-60.4445800781,90.8630981445,0.274663209915,0.469795703888,7.2981338501,10.6110420227,5.66188621521,-2.24250411987,1.34593677521,0.000869274139404,0.693612098694,1
5.0,7.1321013005,-38.588104248,172.752624512,3.06615257263,1.67609775066,3.981590271,-0.0125923156738,2.95934295654,1.90460681915,0.939352989197,-0.693876743317,-1.13284635544,0
-10.0,4.8295687885,-6.04884338379,-11.9242248535,-0.107149124146,0.167587757111,-2.49652099609,-8.73399734497,-4.31164169312,3.80263805389,0.0784454345703,-0.172044754028,-0.382420539856,1
8.0,5.5496235455,76.2142868042,-348.139282227,-0.0785714387894,-0.166071414948,-1.09642791748,-6.47499847412,-5.38035583496,1.63125038147,-0.64821434021,0.324999809265,1.06785774231,0
2.0,0.3449691991,-8.7195892334,140.379516602,1.90738451481,0.000820517539978,1.76431274414,-7.29005050659,-1.52451324463,5.24605083466,0.428615570068,-0.288000106812,-0.95712852478,0
-5.0,5.0869267625,17.7960662842,-166.758148193,-3.56129622459,-0.383772373199,-5.94159698486,6.19522476196,-0.782043457031,-6.76768112183,-0.908310890198,0.468585968018,1.37356233597,1
3.0,4.7693360712,10.2948913574,-4.73571777344,-1.84190142155,-1.26742959023,0.12816619873,7.14823913574,0.714965820312,-4.76355552673,-0.699647903442,0.273943424225,1.32640838623,0
3.0,0.5722108145,15.1483306885,28.3760986328,-1.92784893513,-0.481081724167,-4.84369659424,3.72938537598,0.502742767334,-4.16274166107,-0.942113876343,-0.000679016113281,-0.16623878479,1
-2.0,3.9917864476,18.5455474854,-1.87942504883,-0.88940680027,-1.14639830589,-0.0186462402344,-3.23347473145,-3.42182159424,1.5396194458,-0.450424194336,0.0516948699951,0.577542304993,0
-5.0,0.4079397673,-49.6568374634,367.371948242,0.289150953293,-0.613915085793,-4.07169342041,-0.0202827453613,1.99457550049,-0.544575691223,-0.273113250732,-0.638679027557,-2.00990581512,1
5.0,-0.7173169062,-30.5538520813,358.494995117,2.46519851685,0.765812277794,3.41094970703,-5.91380310059,-1.42597770691,4.15319252014,0.423052787781,-0.395509243011,-0.525730133057,1
26.0,2.6255989048,240.166656494,-242.600006104,1.13333332539,4.73333358765,-12.1999969482,-18.5,-6.60000038147,2.69999980927,-1.23333263397,-1.76666665077,-2.73333311081,0
-7.0,2.0561259412,-50.7303695679,447.837402344,-1.3037519455,-0.200868606567,-5.06024169922,-2.4189414978,-2.1028842926,-0.427824020386,-0.661376953125,-0.313187599182,-0.685277462006,1
-13.0,-4.0876112252,-97.2498397827,353.417053223,-0.520302057266,-4.38155460358,-13.4774551392,-6.59090042114,-4.81789588928,-0.703122138977,-1.56090641022,-0.990512371063,-2.1884303093,0
-5.0,1.4483230664,-50.4295730591,306.415130615,0.878311634064,-1.27661681175,-0.29825592041,-7.53274917603,-2.59330368042,5.15624523163,-0.0108604431152,-0.80607175827,-1.69211816788,0
-12.0,-1.5742642026,-51.3730239868,410.263549805,-1.45716059208,-1.54608714581,-3.25038146973,0.0416030883789,-0.359727859497,-0.664862632751,-0.706310272217,-0.229662895203,-0.732446670532,1
2.0,-5.3689253935,-20.1287078857,149.522949219,-0.231043934822,0.299725294113,2.08873748779,2.93461608887,2.36400985718,-0.0033655166626,0.407829284668,0.0250000953674,-0.181319236755,0
-8.0,2.4503764544,-113.584854126,1854.51904297,-3.22317552567,-2.6086230278,-4.4225692749,3.97920227051,1.145154953,-1.54457569122,-0.369204521179,-0.432504653931,-1.17900943756,1
0.0,10.7241615332,-269.798400879,1040.47802734,4.0583152771,3.50683927536,16.1713447571,0.289417266846,4.95968437195,8.10511112213,2.23830032349,0.811375379562,0.369330406189,0
13.0,-5.8891170431,0.912979125977,73.442199707,4.19325399399,0.0752267837524,2.77675628662,-4.80635070801,1.67664337158,4.47392272949,0.485600471497,-0.464172363281,-1.72936487198,1
0.0,4.7775496235,-37.8573074341,179.607025146,-2.88421058655,-1.26549708843,-14.708770752,-3.13177490234,-4.33411216736,-4.9910326004,-1.87719345093,-0.726315975189,-0.936061859131,0
5.0,9.9712525668,-370.555541992,657.5,1.27777779102,2.83333325386,13.2222213745,4.38888931274,6.22222137451,1.5,2.05555534363,1.66666650772,1.88888931274,1
